#,version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,row_col_num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,raw_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18216,18399,18445,18368,18419,18332,18342,18429,18503,18489,18517,18449,18321,18509,18426,18504,18571,,,,,,,,,,,,,,,,,,,,,
17576,17550,17530,17527,17521,17516,17520,17547,18089,17544,17518,17521,17529,17529,17524,17526,17528,,,,,,,,,,,,,,,,,,,,,
17650,17655,17656,17662,17661,17658,17662,17665,17679,17665,17659,17661,17668,17667,17660,17657,17671,,,,,,,,,,,,,,,,,,,,,
17654,17662,17663,17669,17669,17667,17673,17666,17669,17667,17670,17671,17677,17675,17667,17663,17674,,,,,,,,,,,,,,,,,,,,,
17670,17676,17682,17686,17686,17684,17688,17683,17687,17685,17687,17688,17693,17691,17683,17678,17685,,,,,,,,,,,,,,,,,,,,,
17681,17687,17692,17698,17699,17699,17701,17697,17700,17698,17700,17700,17706,17704,17694,17688,17692,,,,,,,,,,,,,,,,,,,,,
17688,17694,17698,17708,17706,17705,17709,17706,17708,17706,17707,17708,17713,17711,17700,17693,17695,,,,,,,,,,,,,,,,,,,,,
17685,17691,17696,17703,17702,17701,17708,17703,17707,17703,17705,17705,17710,17707,17696,17689,17687,,,,,,,,,,,,,,,,,,,,,
17682,17687,17692,17699,17699,17698,17704,17700,17701,17701,17701,17701,17706,17703,17692,17684,17679,,,,,,,,,,,,,,,,,,,,,
17680,17687,17691,17698,17701,17697,17703,17699,17702,17699,17700,17699,17704,17701,17690,17682,17675,,,,,,,,,,,,,,,,,,,,,
17675,17680,17685,17692,17693,17691,17697,17696,17695,17693,17694,17693,17697,17694,17683,17675,17668,,,,,,,,,,,,,,,,,,,,,
17684,17688,17694,17700,17699,17699,17705,17703,17702,17701,17701,17700,17704,17700,17690,17682,17674,,,,,,,,,,,,,,,,,,,,,
17690,17695,17700,17706,17706,17705,17710,17707,17707,17705,17707,17705,17710,17706,17695,17687,17678,,,,,,,,,,,,,,,,,,,,,
17687,17747,17723,17697,17697,17695,17703,17723,17698,17696,17697,17695,17699,17696,17686,17677,17666,,,,,,,,,,,,,,,,,,,,,
